Timestamp,RunIndex,PlayerId,Frame,StepIndex,NodeName,CellX,CellY,PosX,PosZ,PassCount,UnknownCount,WallCount,LinkCount
20251217_221414.305,1,0,3120,12,Node_99,24,14,24.000,14.000,1,0,0,1
20251217_221414.368,1,0,3132,12,Node_100,21,5,21.000,5.000,1,0,0,1
20251217_221414.386,1,0,3136,12,Node_100,21,5,21.000,5.000,2,3,0,1
20251217_221414.390,1,0,3137,12,Node_100,21,5,21.000,5.000,3,3,0,1
20251217_221414.758,1,0,3139,13,Node_101,21,6,21.000,6.000,1,0,0,1
20251217_221414.759,1,0,3139,13,Node_101,21,6,21.000,6.000,2,3,0,1
20251217_221414.759,1,0,3139,13,Node_102,24,15,24.000,15.000,1,0,0,1
20251217_221414.926,1,0,3155,13,Node_101,21,6,21.000,6.000,3,3,0,1
20251217_221415.119,1,0,3190,14,Node_103,21,7,21.000,7.000,1,0,0,1
20251217_221415.120,1,0,3190,14,Node_103,21,7,21.000,7.000,2,2,1,1
20251217_221415.121,1,0,3190,14,Node_104,24,16,24.000,16.000,1,0,0,1
20251217_221415.255,1,0,3208,0,Node_2,19,11,19.000,11.000,5,0,0,4
20251217_221415.255,1,0,3208,0,Node_3,19,9,19.000,9.000,6,0,0,4
20251217_221415.256,1,0,3208,0,Node_4,18,10,18.000,10.000,5,0,0,4
20251217_221415.256,1,0,3208,0,Node_5,20,10,20.000,10.000,6,0,0,4
20251217_221415.268,1,0,3210,14,Node_103,21,7,21.000,7.000,3,2,1,1
20251217_221415.475,1,0,3249,15,Node_105,21,8,21.000,8.000,1,0,0,1
20251217_221415.475,1,0,3249,15,Node_105,21,8,21.000,8.000,2,3,0,1
20251217_221415.476,1,0,3249,15,Node_106,24,17,24.000,17.000,1,0,0,1
20251217_221415.581,1,0,3265,1,Node_6,19,12,19.000,12.000,3,0,1,3
20251217_221415.582,1,0,3265,1,Node_40,19,8,19.000,8.000,3,0,1,3
20251217_221415.583,1,0,3265,1,Node_16,17,10,17.000,10.000,5,0,0,4
20251217_221415.583,1,0,3265,1,Node_42,20,9,20.000,9.000,4,0,0,4
20251217_221415.611,1,0,3270,15,Node_105,21,8,21.000,8.000,3,3,0,1
20251217_221415.815,1,0,3311,16,Node_84,21,9,21.000,9.000,2,2,0,3
20251217_221415.816,1,0,3311,16,Node_84,21,9,21.000,9.000,3,1,0,3
20251217_221415.907,1,0,3326,2,Node_11,20,12,20.000,12.000,3,0,0,4
20251217_221415.907,1,0,3326,2,Node_46,20,8,20.000,8.000,2,1,1,2
20251217_221415.925,1,0,3329,2,Node_24,16,10,16.000,10.000,3,0,1,3
20251217_221415.926,1,0,3329,2,Node_46,20,8,20.000,8.000,3,1,1,2
20251217_221415.948,1,0,3333,16,Node_84,21,9,21.000,9.000,4,1,0,3
20251217_221416.141,1,0,3363,17,Node_89,22,9,22.000,9.000,4,2,0,3
20251217_221416.142,1,0,3363,17,Node_89,22,9,22.000,9.000,5,1,0,3
20251217_221416.234,1,0,3383,3,Node_13,20,13,20.000,13.000,2,1,1,2
20251217_221416.247,1,0,3386,3,Node_105,21,8,21.000,8.000,4,2,0,3
20251217_221416.252,1,0,3387,3,Node_105,21,8,21.000,8.000,5,1,0,3
20251217_221416.264,1,0,3389,3,Node_27,15,10,15.000,10.000,2,1,1,2
20251217_221416.273,1,0,3391,17,Node_89,22,9,22.000,9.000,6,1,0,3
20251217_221416.485,1,0,3432,18,Node_108,23,9,23.000,9.000,1,0,0,1
20251217_221416.558,1,0,3444,4,Node_50,21,13,21.000,13.000,2,1,1,3
20251217_221416.585,1,0,3449,4,Node_92,22,8,22.000,8.000,4,1,1,3
20251217_221416.592,1,0,3450,4,Node_92,22,8,22.000,8.000,5,0,1,3
20251217_221416.606,1,0,3452,4,Node_109,14,10,14.000,10.000,1,0,0,1
20251217_221416.614,1,0,3453,18,Node_108,23,9,23.000,9.000,2,2,1,1
20251217_221416.810,1,0,3495,19,Node_110,23,10,23.000,10.000,1,0,0,1
20251217_221416.884,1,0,3512,5,Node_52,21,14,21.000,14.000,3,0,1,3
20251217_221416.910,1,0,3517,5,Node_94,22,7,22.000,7.000,4,1,1,2
20251217_221416.918,1,0,3518,5,Node_94,22,7,22.000,7.000,5,1,1,2
20251217_221416.932,1,0,3521,5,Node_60,14,11,14.000,11.000,2,2,0,3
20251217_221416.937,1,0,3522,19,Node_110,23,10,23.000,10.000,2,2,1,1
20251217_221417.150,1,0,3568,20,Node_90,23,11,23.000,11.000,2,2,0,3
20251217_221417.221,1,0,3583,6,Node_20,21,15,21.000,15.000,4,0,0,4
20251217_221417.238,1,0,3586,6,Node_103,21,7,21.000,7.000,4,1,1,3
20251217_221417.247,1,0,3587,6,Node_103,21,7,21.000,7.000,5,0,1,3
20251217_221417.259,1,0,3589,6,Node_111,13,11,13.000,11.000,1,0,0,1
20251217_221417.279,1,0,3593,20,Node_90,23,11,23.000,11.000,3,1,0,3
20251217_221417.475,1,0,3635,21,Node_112,24,11,24.000,11.000,1,0,0,1
20251217_221417.546,1,0,3650,7,Node_56,22,15,22.000,15.000,2,1,1,2
20251217_221417.566,1,0,3654,7,Node_101,21,6,21.000,6.000,4,2,0,2
20251217_221417.571,1,0,3655,7,Node_101,21,6,21.000,6.000,5,2,0,2
20251217_221417.587,1,0,3658,7,Node_113,13,12,13.000,12.000,1,0,0,1
20251217_221417.602,1,0,3661,21,Node_112,24,11,24.000,11.000,2,2,1,1
20251217_221417.799,1,0,3707,22,Node_95,24,12,24.000,12.000,2,2,0,3
20251217_221417.884,1,0,3724,8,Node_114,23,15,23.000,15.000,1,0,0,1
20251217_221417.889,1,0,3725,8,Node_115,20,6,20.000,6.000,1,0,0,1
20251217_221417.896,1,0,3726,8,Node_115,20,6,20.000,6.000,2,2,1,1
20251217_221417.926,1,0,3731,22,Node_95,24,12,24.000,12.000,3,1,0,3
20251217_221417.928,1,0,3731,8,Node_88,13,13,13.000,13.000,2,1,1,3
20251217_221418.124,1,0,3769,23,Node_116,25,12,25.000,12.000,1,0,0,1
20251217_221418.207,1,0,3786,9,Node_117,23,16,23.000,16.000,1,0,0,1
20251217_221418.218,1,0,3788,9,Node_118,20,5,20.000,5.000,1,0,0,1
20251217_221418.223,1,0,3789,9,Node_118,20,5,20.000,5.000,2,3,0,1
20251217_221418.257,1,0,3796,23,Node_116,25,12,25.000,12.000,2,3,0,1
20251217_221418.258,1,0,3796,9,Node_64,14,13,14.000,13.000,3,1,0,3
20251217_221418.451,1,0,3834,24,Node_119,25,13,25.000,13.000,1,0,0,1
20251217_221418.546,1,0,3853,10,Node_120,23,17,23.000,17.000,1,0,0,1
20251217_221418.557,1,0,3855,10,Node_121,20,4,20.000,4.000,1,0,0,1
20251217_221418.563,1,0,3856,10,Node_121,20,4,20.000,4.000,2,3,0,1
20251217_221418.582,1,0,3860,24,Node_119,25,13,25.000,13.000,2,3,0,1
20251217_221418.596,1,0,3862,10,Node_35,15,13,15.000,13.000,2,1,1,3
20251217_221418.801,1,0,3903,25,Node_122,25,14,25.000,14.000,1,0,0,1
20251217_221418.876,1,0,3909,11,Node_106,24,17,24.000,17.000,2,3,0,2
20251217_221418.895,1,0,3912,11,Node_123,20,3,20.000,3.000,1,0,0,1
20251217_221418.905,1,0,3913,11,Node_123,20,3,20.000,3.000,2,3,0,1
20251217_221418.921,1,0,3915,25,Node_122,25,14,25.000,14.000,2,2,1,1
20251217_221418.922,1,0,3915,11,Node_33,15,12,15.000,12.000,3,1,0,3
20251217_221419.145,1,0,3958,26,Node_124,25,15,25.000,15.000,1,0,0,1
20251217_221419.203,1,0,3969,12,Node_107,24,18,24.000,18.000,1,3,1,1
20251217_221419.238,1,0,3975,12,Node_125,20,2,20.000,2.000,1,0,0,1
20251217_221419.244,1,0,3976,12,Node_125,20,2,20.000,2.000,2,1,2,1
20251217_221419.251,1,0,3977,12,Node_62,14,12,14.000,12.000,2,2,0,3
20251217_221419.265,1,0,3979,26,Node_124,25,15,25.000,15.000,2,2,1,1
20251217_221419.484,1,0,4025,27,Node_126,25,16,25.000,16.000,1,0,0,1
20251217_221419.544,1,0,4036,13,Node_127,24,19,24.000,19.000,1,0,0,1
20251217_221419.566,1,0,4040,13,Node_128,19,2,19.000,2.000,1,0,0,1
20251217_221419.572,1,0,4041,13,Node_128,19,2,19.000,2.000,2,2,1,1
20251217_221419.588,1,0,4044,13,Node_113,13,12,13.000,12.000,2,1,1,3
20251217_221419.603,1,0,4047,27,Node_126,25,16,25.000,16.000,2,2,1,1
