RunIndex,NodeName,PosX,PosZ,DistanceFromStart,DistanceFromGoal,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsBranch
24,Node_452,30,17,17,0,0,1,3,2,0,1
24,Node_451,28,21,19,0,0,1,3,6,0,1
24,Node_450,32,24,26,0,0,2,2,2,0,0
24,Node_449,29,17,16,0,0,1,3,2,0,1
24,Node_448,32,25,27,0,0,1,3,2,0,1
24,Node_447,29,16,15,0,0,1,3,2,0,1
24,Node_446,28,17,15,0,0,0,4,6,0,1
24,Node_445,35,25,30,0,0,1,3,2,0,1
24,Node_444,28,16,14,0,0,0,4,4,0,1
24,Node_443,35,24,29,0,0,1,3,2,0,1
24,Node_442,28,15,13,0,0,2,2,0,0,0
24,Node_441,35,23,28,0,0,1,3,2,0,1
24,Node_440,35,22,27,0,0,0,4,2,0,1
24,Node_439,35,21,26,0,1,1,2,0,0,0
24,Node_438,35,20,25,0,1,1,2,0,0,0
24,Node_437,35,19,24,0,1,1,2,0,0,0
24,Node_436,35,18,23,0,2,0,2,0,0,0
24,Node_435,35,17,22,0,0,0,4,2,0,1
24,Node_434,35,16,21,0,1,1,2,0,0,0
24,Node_433,35,15,20,0,1,1,2,0,0,0
24,Node_432,34,15,19,0,0,2,2,0,0,0
24,Node_431,34,14,18,0,1,1,2,0,0,0
24,Node_430,34,13,17,0,1,1,2,0,0,0
24,Node_429,34,11,19,0,0,1,3,2,0,1
24,Node_428,34,10,20,0,0,1,3,2,0,1
24,Node_427,34,9,21,0,0,1,3,2,0,1
24,Node_426,34,8,20,0,0,0,4,4,0,1
24,Node_425,33,8,19,0,0,2,2,0,0,0
24,Node_424,33,7,18,0,0,0,4,4,0,1
24,Node_423,33,6,19,0,0,1,3,2,0,1
24,Node_422,19,-3,18,0,2,1,1,0,1,0
24,Node_421,19,-2,17,0,2,0,2,0,0,0
24,Node_420,19,-1,16,0,0,1,3,2,0,1
24,Node_419,32,7,17,0,0,1,3,2,0,1
24,Node_418,32,6,18,0,0,0,4,14,0,1
24,Node_417,17,0,17,0,0,2,2,0,0,0
24,Node_416,32,5,19,0,0,1,3,8,0,1
24,Node_415,17,-1,18,0,0,1,3,2,0,1
24,Node_414,32,4,20,0,0,1,3,6,0,1
24,Node_413,17,-2,19,0,0,1,3,2,0,1
24,Node_412,14,-3,23,0,3,0,1,0,1,0
24,Node_411,32,3,21,0,0,1,3,8,0,1
24,Node_410,18,-2,18,0,1,1,2,0,0,0
24,Node_409,14,-4,22,0,1,1,2,0,0,0
24,Node_408,18,-1,17,0,0,0,4,2,0,1
24,Node_407,14,-5,21,0,0,2,2,0,0,0
24,Node_406,18,0,16,0,0,0,4,2,0,1
24,Node_405,15,-5,20,0,1,1,2,0,0,0
24,Node_404,18,1,15,0,0,2,2,0,0,0
24,Node_403,15,-4,19,0,1,1,2,0,0,0
24,Node_402,29,2,19,0,0,1,3,0,0,1
24,Node_401,29,1,20,0,0,2,2,0,0,0
24,Node_400,15,-3,18,0,1,1,2,0,0,0
24,Node_399,19,0,15,0,0,0,4,4,0,1
24,Node_398,15,-2,17,0,0,0,4,2,0,1
24,Node_397,15,-1,16,0,1,1,2,0,0,0
24,Node_396,15,0,15,0,1,1,2,0,0,0
24,Node_395,15,1,14,0,1,1,2,0,0,0
24,Node_394,22,1,15,0,0,2,2,0,0,0
24,Node_393,22,0,16,0,0,0,4,4,0,1
24,Node_392,22,-1,17,0,0,1,3,2,0,1
24,Node_391,24,-3,19,0,0,2,2,0,0,0
24,Node_390,24,-2,18,0,0,1,3,2,0,1
