RunIndex,NodeName,PosX,PosZ,DistanceFromStart,DistanceFromGoal,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsBranch
0,Node_5,20,10,2,0,0,0,4,4,0,1
0,Node_4,18,10,2,0,0,0,4,6,0,1
0,Node_3,19,9,2,0,1,0,3,4,0,1
0,Node_2,19,11,0,0,0,0,4,4,0,1
0,Node_1,23,10,2147483647,0,3,1,0,2,0,0
1,Node_85,12,17,13,0,3,0,1,0,1,0
1,Node_84,12,16,12,0,1,1,2,0,0,0
1,Node_83,12,15,11,0,1,1,2,0,0,0
1,Node_82,19,-3,20,0,2,1,1,0,1,0
1,Node_81,12,14,10,0,1,1,2,0,0,0
1,Node_80,19,-2,19,0,2,0,2,0,0,0
1,Node_79,19,-1,18,0,1,1,2,0,0,0
1,Node_78,13,13,10,0,1,1,2,0,0,0
1,Node_77,19,0,17,0,2,0,2,0,0,0
1,Node_76,13,12,9,0,1,1,2,0,0,0
1,Node_75,19,1,16,0,1,1,2,0,0,0
1,Node_74,13,11,8,0,1,1,2,0,0,0
1,Node_73,19,2,15,0,1,1,2,0,0,0
1,Node_72,13,10,7,0,2,0,2,0,0,0
1,Node_71,19,3,14,0,1,1,2,0,0,0
1,Node_70,14,10,6,0,1,1,2,0,0,0
1,Node_69,19,4,13,0,2,0,2,0,0,0
1,Node_68,19,5,12,0,2,0,2,0,0,0
1,Node_67,19,6,11,0,0,2,2,0,0,0
1,Node_66,20,6,10,0,1,1,2,0,0,0
1,Node_65,22,5,9,0,1,1,2,0,0,0
1,Node_64,17,8,5,0,2,0,2,2,0,0
1,Node_63,22,6,8,0,1,1,2,0,0,0
1,Node_62,20,5,9,0,1,0,3,4,0,1
1,Node_61,22,7,7,0,1,1,2,0,0,0
1,Node_60,20,4,10,0,2,0,2,0,0,0
1,Node_59,22,8,6,0,1,1,2,0,0,0
1,Node_58,20,3,11,0,2,0,2,0,0,0
1,Node_57,22,9,5,0,2,0,2,0,0,0
1,Node_56,21,3,10,0,0,2,2,0,0,0
